speaker,segfile
adam_hochberg,files/segments/eh971008_turn0_seg0.npy
adam_hochberg,files/segments/eh971008_turn0_seg1.npy
adam_hochberg,files/segments/eh971008_turn0_seg2.npy
adam_hochberg,files/segments/eh971008_turn0_seg3.npy
adam_hochberg,files/segments/eh971008_turn0_seg4.npy
adam_hochberg,files/segments/eh971008_turn0_seg5.npy
adam_hochberg,files/segments/eh971008_turn0_seg6.npy
adam_hochberg,files/segments/eh971008_turn0_seg7.npy
adam_hochberg,files/segments/eh971008_turn0_seg8.npy
adam_hochberg,files/segments/eh971008_turn0_seg9.npy
adam_hochberg,files/segments/eh971008_turn0_seg10.npy
adam_hochberg,files/segments/eh971008_turn0_seg11.npy
adam_hochberg,files/segments/eh971008_turn0_seg12.npy
adam_hochberg,files/segments/eh971008_turn0_seg13.npy
adam_hochberg,files/segments/eh971008_turn0_seg14.npy
adam_hochberg,files/segments/eh971008_turn0_seg15.npy
adam_hochberg,files/segments/eh971008_turn0_seg16.npy
adam_hochberg,files/segments/eh971008_turn0_seg17.npy
adam_hochberg,files/segments/eh971008_turn0_seg18.npy
adam_hochberg,files/segments/eh971008_turn0_seg19.npy
adam_hochberg,files/segments/eh971008_turn0_seg20.npy
adam_hochberg,files/segments/eh971008_turn0_seg21.npy
corey_flintoff,files/segments/eh971008_turn1_seg0.npy
corey_flintoff,files/segments/eh971008_turn1_seg1.npy
corey_flintoff,files/segments/eh971008_turn1_seg2.npy
corey_flintoff,files/segments/eh971008_turn1_seg3.npy
corey_flintoff,files/segments/eh971008_turn1_seg4.npy
corey_flintoff,files/segments/eh971008_turn1_seg5.npy
corey_flintoff,files/segments/eh971008_turn1_seg6.npy
corey_flintoff,files/segments/eh971008_turn1_seg7.npy
corey_flintoff,files/segments/eh971008_turn1_seg8.npy
corey_flintoff,files/segments/eh971008_turn1_seg9.npy
corey_flintoff,files/segments/eh971008_turn1_seg10.npy
corey_flintoff,files/segments/eh971008_turn1_seg11.npy
corey_flintoff,files/segments/eh971008_turn2_seg0.npy
corey_flintoff,files/segments/eh971008_turn2_seg1.npy
corey_flintoff,files/segments/eh971008_turn2_seg2.npy
corey_flintoff,files/segments/eh971008_turn2_seg3.npy
corey_flintoff,files/segments/eh971008_turn2_seg4.npy
corey_flintoff,files/segments/eh971008_turn2_seg5.npy
john_greenberg,files/segments/eh971008_turn3_seg0.npy
john_greenberg,files/segments/eh971008_turn3_seg1.npy
john_greenberg,files/segments/eh971008_turn3_seg2.npy
john_greenberg,files/segments/eh971008_turn3_seg3.npy
john_greenberg,files/segments/eh971008_turn3_seg4.npy
john_greenberg,files/segments/eh971008_turn3_seg5.npy
john_greenberg,files/segments/eh971008_turn3_seg6.npy
john_greenberg,files/segments/eh971008_turn3_seg7.npy
john_greenberg,files/segments/eh971008_turn3_seg8.npy
dan_glickman,files/segments/eh971008_turn4_seg0.npy
dan_glickman,files/segments/eh971008_turn4_seg1.npy
dan_glickman,files/segments/eh971008_turn4_seg2.npy
dan_glickman,files/segments/eh971008_turn4_seg3.npy
john_greenberg,files/segments/eh971008_turn5_seg0.npy
john_greenberg,files/segments/eh971008_turn5_seg1.npy
john_greenberg,files/segments/eh971008_turn5_seg2.npy
john_greenberg,files/segments/eh971008_turn5_seg3.npy
john_greenberg,files/segments/eh971008_turn5_seg4.npy
john_greenberg,files/segments/eh971008_turn5_seg5.npy
john_greenberg,files/segments/eh971008_turn5_seg6.npy
john_greenberg,files/segments/eh971008_turn5_seg7.npy
john_greenberg,files/segments/eh971008_turn5_seg8.npy
corey_flintoff,files/segments/eh971008_turn6_seg0.npy
corey_flintoff,files/segments/eh971008_turn6_seg1.npy
corey_flintoff,files/segments/eh971008_turn6_seg2.npy
corey_flintoff,files/segments/eh971008_turn6_seg3.npy
corey_flintoff,files/segments/eh971008_turn6_seg4.npy
corey_flintoff,files/segments/eh971008_turn6_seg5.npy
corey_flintoff,files/segments/eh971008_turn6_seg6.npy
corey_flintoff,files/segments/eh971008_turn7_seg0.npy
corey_flintoff,files/segments/eh971008_turn7_seg1.npy
corey_flintoff,files/segments/eh971008_turn7_seg2.npy
corey_flintoff,files/segments/eh971008_turn8_seg0.npy
corey_flintoff,files/segments/eh971008_turn9_seg0.npy
corey_flintoff,files/segments/eh971008_turn9_seg1.npy
corey_flintoff,files/segments/eh971008_turn9_seg2.npy
corey_flintoff,files/segments/eh971008_turn9_seg3.npy
corey_flintoff,files/segments/eh971008_turn9_seg4.npy
corey_flintoff,files/segments/eh971008_turn9_seg5.npy
corey_flintoff,files/segments/eh971008_turn9_seg6.npy
corey_flintoff,files/segments/eh971008_turn9_seg7.npy
corey_flintoff,files/segments/eh971008_turn9_seg8.npy
corey_flintoff,files/segments/eh971008_turn9_seg9.npy
corey_flintoff,files/segments/eh971008_turn9_seg10.npy
corey_flintoff,files/segments/eh971008_turn9_seg11.npy
corey_flintoff,files/segments/eh971008_turn9_seg12.npy
corey_flintoff,files/segments/eh971008_turn9_seg13.npy
corey_flintoff,files/segments/eh971008_turn9_seg14.npy
corey_flintoff,files/segments/eh971008_turn9_seg15.npy
corey_flintoff,files/segments/eh971008_turn10_seg0.npy
corey_flintoff,files/segments/eh971008_turn10_seg1.npy
corey_flintoff,files/segments/eh971008_turn10_seg2.npy
corey_flintoff,files/segments/eh971008_turn10_seg3.npy
anne_cooper,files/segments/eh971008_turn11_seg0.npy
