speaker,segfile
lyn_vaughn,files/segments/ed980112_turn0_seg0.npy
lyn_vaughn,files/segments/ed980112_turn0_seg1.npy
lyn_vaughn,files/segments/ed980112_turn0_seg2.npy
lyn_vaughn,files/segments/ed980112_turn0_seg3.npy
lyn_vaughn,files/segments/ed980112_turn0_seg4.npy
lyn_vaughn,files/segments/ed980112_turn0_seg5.npy
lyn_vaughn,files/segments/ed980112_turn0_seg6.npy
lyn_vaughn,files/segments/ed980112_turn0_seg7.npy
lyn_vaughn,files/segments/ed980112_turn0_seg8.npy
lyn_vaughn,files/segments/ed980112_turn0_seg9.npy
lyn_vaughn,files/segments/ed980112_turn0_seg10.npy
lyn_vaughn,files/segments/ed980112_turn1_seg0.npy
lyn_vaughn,files/segments/ed980112_turn1_seg1.npy
lyn_vaughn,files/segments/ed980112_turn1_seg2.npy
lyn_vaughn,files/segments/ed980112_turn1_seg3.npy
lyn_vaughn,files/segments/ed980112_turn1_seg4.npy
lyn_vaughn,files/segments/ed980112_turn1_seg5.npy
lyn_vaughn,files/segments/ed980112_turn1_seg6.npy
lyn_vaughn,files/segments/ed980112_turn1_seg7.npy
lyn_vaughn,files/segments/ed980112_turn1_seg8.npy
lyn_vaughn,files/segments/ed980112_turn1_seg9.npy
lyn_vaughn,files/segments/ed980112_turn1_seg10.npy
lyn_vaughn,files/segments/ed980112_turn1_seg11.npy
lyn_vaughn,files/segments/ed980112_turn1_seg12.npy
lyn_vaughn,files/segments/ed980112_turn1_seg13.npy
lyn_vaughn,files/segments/ed980112_turn1_seg14.npy
lyn_vaughn,files/segments/ed980112_turn1_seg15.npy
lyn_vaughn,files/segments/ed980112_turn1_seg16.npy
lyn_vaughn,files/segments/ed980112_turn1_seg17.npy
lyn_vaughn,files/segments/ed980112_turn1_seg18.npy
lyn_vaughn,files/segments/ed980112_turn1_seg19.npy
ed980112_spkr_1,files/segments/ed980112_turn2_seg0.npy
ed980112_spkr_1,files/segments/ed980112_turn2_seg1.npy
ed980112_spkr_1,files/segments/ed980112_turn2_seg2.npy
ed980112_spkr_1,files/segments/ed980112_turn2_seg3.npy
ed980112_spkr_1,files/segments/ed980112_turn2_seg4.npy
ed980112_spkr_2,files/segments/ed980112_turn3_seg0.npy
ed980112_spkr_2,files/segments/ed980112_turn3_seg1.npy
ed980112_spkr_2,files/segments/ed980112_turn3_seg2.npy
ed980112_spkr_1,files/segments/ed980112_turn4_seg0.npy
ed980112_spkr_1,files/segments/ed980112_turn4_seg1.npy
ed980112_spkr_2,files/segments/ed980112_turn5_seg0.npy
ed980112_spkr_2,files/segments/ed980112_turn5_seg1.npy
ed980112_spkr_1,files/segments/ed980112_turn6_seg0.npy
ed980112_spkr_1,files/segments/ed980112_turn6_seg1.npy
ed980112_spkr_2,files/segments/ed980112_turn7_seg0.npy
ed980112_spkr_1,files/segments/ed980112_turn8_seg0.npy
ed980112_spkr_1,files/segments/ed980112_turn8_seg1.npy
lyn_vaughn,files/segments/ed980112_turn9_seg0.npy
lyn_vaughn,files/segments/ed980112_turn9_seg1.npy
lyn_vaughn,files/segments/ed980112_turn9_seg2.npy
lyn_vaughn,files/segments/ed980112_turn9_seg3.npy
lyn_vaughn,files/segments/ed980112_turn9_seg4.npy
lyn_vaughn,files/segments/ed980112_turn9_seg5.npy
lyn_vaughn,files/segments/ed980112_turn9_seg6.npy
lyn_vaughn,files/segments/ed980112_turn9_seg7.npy
lyn_vaughn,files/segments/ed980112_turn10_seg0.npy
lyn_vaughn,files/segments/ed980112_turn10_seg1.npy
lyn_vaughn,files/segments/ed980112_turn10_seg2.npy
lyn_vaughn,files/segments/ed980112_turn10_seg3.npy
lyn_vaughn,files/segments/ed980112_turn10_seg4.npy
lyn_vaughn,files/segments/ed980112_turn10_seg5.npy
lyn_vaughn,files/segments/ed980112_turn10_seg6.npy
lyn_vaughn,files/segments/ed980112_turn10_seg7.npy
lyn_vaughn,files/segments/ed980112_turn10_seg8.npy
lyn_vaughn,files/segments/ed980112_turn10_seg9.npy
lyn_vaughn,files/segments/ed980112_turn10_seg10.npy
lyn_vaughn,files/segments/ed980112_turn10_seg11.npy
lyn_vaughn,files/segments/ed980112_turn10_seg12.npy
